Wave,Time after wave started,Small Zombie,Small time delta,Fat Zombie,Fat time delta,Bicycle Zombie,Bicycle time delta,Spider Zombie,Spider time delta,Lincoln Zombie,Lincoln time delta
1,50,0,0,0,0,5,0.2,0,0,0,0
1,20,0,0,0,0,10,0.2,0,0,0,0
1,40,0,0,0,0,10,0.2,0,0,0,0
2,0,10,0.2,2,1,5,0.2,0,0,0,0
2,15,10,0.2,2,1,10,0.2,0,0,0,0
2,25,10,0.2,2,1,15,0.2,0,0,0,0
3,0,50,0.2,0,0,10,0.2,0,0,0,0
3,20,0,0,8,1,10,0.2,0,0,0,0
4,0,10,0.1,0,0,10,0.2,0,0,0,0
4,10,0,0,2,1,10,0.2,0,0,0,0
4,15,50,0.1,0,0,0,0,0,0,0,0
5,0,10,0.1,0,0,0,0,0,0,0,0
5,10,0,0,4,1,0,0,0,0,0,0
5,20,50,0.1,0,0,20,0.2,0,0,0,0
6,0,150,0.1,0,0,30,0.2,0,0,0,0
7,0,0,0,15,1,10,0.2,0,0,0,0
8,0,100,0.1,0,1,50,0.2,0,0,0,0
8,10,0,0,30,3,0,0,0,0,0,0
9,0,200,0.1,0,0,0,0,0,0,0,0
10,0,200,0.1,0,0,0,0,0,0,0,0
10,5,0,0,20,1,0,0,0,0,0,0
10,10,0,0,0,0,50,0.2,0,0,1,0
